Time,HR,RR,participant_id,condition,Task Name,Metric 1,Metric 2,Metric 3,Metric 4,Metric 5,Metric 6,Metric 7
10:29:1.815,-1,-1,1,1,None,-1,-1,-1,-1,-1,-1,-1
10:29:1.865,-1,-1,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:1.865,-1,-1,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:1.915,-1,-1,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:1.965,-1,-1,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:2.14,-1,-1,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:2.64,-1,-1,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:2.114,-1,-1,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:2.164,-1,-1,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:2.214,-1,-1,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:2.264,-1,-1,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:2.314,-1,-1,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:2.364,-1,-1,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:2.414,-1,-1,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:2.464,-1,-1,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:2.514,-1,-1,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:2.564,-1,-1,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:2.614,-1,-1,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:2.664,71,16,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:2.714,71,16,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:2.765,71,16,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:2.815,71,16,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:2.865,71,16,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:2.915,71,16,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:2.965,71,16,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:3.14,71,16,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:3.64,71,16,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:3.114,71,16,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:3.164,71,16,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:3.214,71,16,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:3.264,71,16,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:3.314,71,16,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:3.364,71,16,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:3.414,71,16,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:3.464,71,16,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:3.514,71,16,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:3.564,71,16,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:3.614,71,16,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:3.664,71,16,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:3.714,73,16,1,1,start,start,-1,-1,-1,-1,-1,-1
10:29:3.765,73,16,1,1,selection_page,-1,-1,-1,-1,-1,-1,-1
10:29:3.816,73,16,1,1,selection_page,-1,-1,-1,-1,-1,-1,-1
10:29:3.866,73,16,1,1,selection_page,-1,-1,-1,-1,-1,-1,-1
10:29:3.916,73,16,1,1,selection_page,-1,-1,-1,-1,-1,-1,-1
10:29:3.966,73,16,1,1,selection_page,-1,-1,-1,-1,-1,-1,-1
10:29:4.15,73,16,1,1,selection_page,-1,-1,-1,-1,-1,-1,-1
10:29:4.65,73,16,1,1,selection_page,-1,-1,-1,-1,-1,-1,-1
10:29:4.115,73,16,1,1,selection_page,-1,-1,-1,-1,-1,-1,-1
10:29:4.165,73,16,1,1,selection_page,-1,-1,-1,-1,-1,-1,-1
10:29:4.215,73,16,1,1,selection_page,-1,-1,-1,-1,-1,-1,-1
10:29:4.265,73,16,1,1,selection_page,-1,-1,-1,-1,-1,-1,-1
10:29:4.315,73,16,1,1,selection_page,-1,-1,-1,-1,-1,-1,-1
10:29:4.365,73,16,1,1,selection_page,-1,-1,-1,-1,-1,-1,-1
